ID	ステータス	シリーズ	資料タイプ	候補タイトル	一次資料URL	一次資料到達状態	現代との接続仮説	記事化タイトル案	面白さ	現代接続	一次資料	検証難度	収益化	総合優先度	未確認ポイント	次アクション	メモ	専門家に突っ込まれそうな点	正確な言い換え
PA-004	Published	Patent Archaeology	特許	Amazon item-to-item推薦特許	https://patents.google.com/patent/US6266649B1/en	Primary Confirmed	協調フィルタリングから現代レコメンド・埋め込み検索への前史として読める	Amazonの「この商品を買った人は」を特許から読む	5	5	5	2	5	18	実Amazon実装との一致度、item-to-item CF論文との対応、訴訟内容、USPTO失効再確認	完了	ep14 公開済み（2026-05-06）	現代embedding推薦との同一視は危険。協調フィルタリング先行研究を確認する必要あり	現代レコメンドAIそのものの祖先ではなく、ECにおけるitem-to-item推薦を大規模運用するための重要な前史
PA-003	Published	Patent Archaeology	特許	PageRank特許	https://patents.google.com/patent/US6285999B1/en	Primary Found Not Read	リンク評価から現代の検索ランキング・AI検索・RAG評価へ接続できる	PageRank特許をLLM検索時代に読み返す	5	5	5	2	4	17	失効状態と譲渡履歴	完了	ep15 発掘メモ 公開済み（2026-05-06）	LLM検索のランキングとは信号が違う	リンクグラフ上の重要度計算の先行例。LLM検索のランキングシグナルとは別物
PA-005	Published	Patent Archaeology	特許	Amazon 1-Click特許	https://patents.google.com/patent/US5960411A/en	Primary Confirmed	摩擦ゼロUX・決済UX・サブスク導線の前史として読める	1クリック購入は何を発明した特許だったのか	5	4	5	2	5	17	訴訟史と失効日	完了	ep23 発掘ノート 公開済み（2026-05-07）	「誰でも思いつく」と見られやすいので請求項の具体性確認が必要	手続きフローの特許化。技術発明ではなくUX/決済フローの保護が主旨
PA-001	Published	Patent Archaeology	特許	IBM統計的機械翻訳特許	https://patents.google.com/patent/US5477451A/en	Primary Found Not Read	IBM CandideからLLM翻訳までの前史として読める	LLM翻訳の祖先はIBM Candideにどこまで書かれていたのか	5	5	5	3	4	16	Claim 1とIBM Candide論文の対応確認	完了	ep16 発掘メモ 公開済み（2026-05-06）	TransformerとNMTとの断絶を明記する	SMTの大規模実用化の前史。NMTとは設計が断絶しており直系とは言えない
PA-002	Published	AI・機械学習特許	特許	自然言語DB検索の古い特許	https://patents.google.com/patent/US5197005A/en	Primary Found Not Read	NL2SQLやAIデータ分析エージェントの前史として読める	ChatGPTにSQLを書かせる夢は、1989年の特許にあった──US5197005Aが立てた「自然言語でDBを検索する」という問い	4	5	5	3	4	15	Claim 1逐語・Intelligent Business Systemsの製品化履歴・Forward citations・対象DBシステム	完了	ep22 発掘メモ 公開済み（2026-05-07）	ルールベースNLインターフェースとLLMエージェントは解法が根本的に異なる。問題意識は同じ	ルールベースNLインターフェースの前史。LLMによる確率的生成とは設計が異なる
PA-006	Published	Patent Archaeology	特許	RSA公開鍵暗号特許	https://patents.google.com/patent/US4405829A/en	Primary Confirmed	公開鍵暗号からTLS・署名・認証・Web3までの基盤として読める	RSA特許を読むとインターネットの信頼が見える	5	5	5	4	4	15	数学部分の正確な説明	完了	ep24 発掘メモ 公開済み（2026-05-07）	暗号史は専門家が多く雑な説明が刺されやすい	公開鍵暗号の数学的構造の実用化。現代実装は量子耐性等で進化しており同一ではない
PA-008	Published	Patent Archaeology	特許	誤差逆伝播ハードウェア特許	https://patents.google.com/patent/US5517598A	Primary Confirmed	ニューラルネット学習をハードウェア実装しようとした前史として読める	バックプロパゲーションを専用回路で走らせようとした1993年──PhilipsのUS5517598Aが記述していた問題意識	5	5	5	4	4	15	Description全文・製品化の有無・Forward citations・Jacques A. Siratの経歴	完了	ep20 発掘ノート 公開済み（2026-05-07）	現代GPU/TPUの学習方式と同一視しない。転置行列の使用は数学的には同じだが設計アーキテクチャは別物	バックプロパゲーションのハードウェア実装試みの問題意識の先行例。現代GPU学習方式とは設計が根本的に異なる
PA-007	Published	Patent Archaeology	特許	LZW圧縮特許	https://patents.google.com/patent/US4558302A/en	Primary Confirmed	GIF・圧縮・フォーマット戦争・オープン標準の前史として読める	GIFを揺らしたLZW特許をLLM時代に読み返す	4	4	5	3	4	14	GIF/PNG移行史との対応	完了	ep25 発掘メモ 公開済み（2026-05-07）	圧縮方式の説明を雑にすると危険	辞書型圧縮の一実装。GIF騒動はライセンス問題であり、LZWがGIFを作ったわけではない
PA-010	Source Found	Patent Archaeology	特許	オブジェクト指向UI特許	https://patents.google.com/patent/US5900870A/en	Primary Found Not Read	Notion・Airtable・オブジェクト型DB・ワークスペースUIの前史として読める	Notion的ワークスペースは1989年のUI特許にあったのか	4	5	4	3	4	14	Original assigneeと製品化の有無	Claim 1と図面を確認	一般読者に広げやすい	Notion直系扱いは危険。UI思想の類似に留める	オブジェクト型操作UIの思想的先行例。Notionとの直接継承関係は一次資料では示せない
PA-009	Published	AI・機械学習特許	特許	時系列・空間データ用ニューラルネット特許	https://patents.google.com/patent/US5253329A/en	Primary Found Not Read	シナプス荷重をフィルタに換えることで時間依存を接続に持たせる前史として読める	シナプス荷重を「フィルタ」に換えた1991年のNASA特許──時系列データを扱うニューラルネットの問題意識が、ここにあった	4	5	4	4	3	12	Description全文・NASAの想定用途・Forward citations・Jordan/Elmanとの差分	完了	ep21 発掘メモ 公開済み（2026-05-07）。DBになく新規追加	現代RNN/Transformerとの接続は慎重に。LSTM/GRUとは記憶機構の設計が根本的に異なる	時空間データ処理の問題意識の先行例。現代RNN/Transformerとの直接継承は示せない
